"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 15:44:09 UTC 2025","Thu Jul 24 15:44:19 UTC 2025","10042","","com.example.fakestoreapi.test.performance.PerformanceTests","","com.example.fakestoreapi.test.performance.PerformanceTests","testConcurrentRequests","testConcurrentRequests()","Test concurrent requests"
"failed","Thu Jul 24 15:44:20 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","31","","com.example.fakestoreapi.test.products.GetProductsTests","","com.example.fakestoreapi.test.products.GetProductsTests","testGetProductById","Test GET products by ID endpoint [3] 3, 200",""
"passed","Thu Jul 24 15:44:19 UTC 2025","Thu Jul 24 15:44:19 UTC 2025","30","","com.example.fakestoreapi.test.performance.PerformanceTests","","com.example.fakestoreapi.test.performance.PerformanceTests","testGetUserResponseTime","testGetUserResponseTime(int, int) [2] 2, 200","Test response time for GET /users/{id}"
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","31","","com.example.fakestoreapi.test.carts.DeleteCartsTests","","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId","Test DELETE carts by ID with various invalid IDs [2] -1, 400",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","37","","com.example.fakestoreapi.test.carts.GetCartsTests","","com.example.fakestoreapi.test.carts.GetCartsTests","getAllCarts","Test GET /carts endpoint",""
"failed","Thu Jul 24 15:44:19 UTC 2025","Thu Jul 24 15:44:20 UTC 2025","30","","com.example.fakestoreapi.test.products.DeleteProductsTests","","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductById","Test DELETE product by ID endpoint with various IDs [3] 3, 200",""
"failed","Thu Jul 24 15:44:19 UTC 2025","Thu Jul 24 15:44:19 UTC 2025","32","","com.example.fakestoreapi.test.products.DeleteProductsTests","","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductById","Test DELETE product by ID endpoint with various IDs [1] 1, 200",""
"failed","Thu Jul 24 15:44:20 UTC 2025","Thu Jul 24 15:44:20 UTC 2025","218","","com.example.fakestoreapi.test.products.PostProductsTests","","com.example.fakestoreapi.test.products.PostProductsTests","testPostProductWithInvalidData","Test POST /products endpoint with invalid data [1] com.example.fakestoreapi.model.Product@32db94fb, 400",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","24","","com.example.fakestoreapi.test.carts.DeleteCartsTests","","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId","Test DELETE carts by ID with various invalid IDs [3] 0, 400",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","36","","com.example.fakestoreapi.test.carts.PostCartsTests","","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData","Test POST carts with invalid data [2] com.example.fakestoreapi.model.Cart@ac3739d, 400",""
"failed","Thu Jul 24 15:44:22 UTC 2025","Thu Jul 24 15:44:22 UTC 2025","23","","com.example.fakestoreapi.test.users.PostUsersTests","","com.example.fakestoreapi.test.users.PostUsersTests","testPostUserWithInvalidData","Test POST user with valid data [1] com.example.fakestoreapi.model.User@3fe5c9f1, 400",""
"failed","Thu Jul 24 15:44:22 UTC 2025","Thu Jul 24 15:44:22 UTC 2025","27","","com.example.fakestoreapi.test.users.GetUsersTests","","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByInvalidId","Test GET /users/{id} endpoint with invalid ID [3] 0, 400",""
"failed","Thu Jul 24 15:44:22 UTC 2025","Thu Jul 24 15:44:22 UTC 2025","34","","com.example.fakestoreapi.test.users.PostUsersTests","","com.example.fakestoreapi.test.users.PostUsersTests","testPostUserWithInvalidData","Test POST user with valid data [2] com.example.fakestoreapi.model.User@286cd3ad, 400",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","26","","com.example.fakestoreapi.test.carts.PostCartsTests","","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData","Test POST carts with invalid data [3] com.example.fakestoreapi.model.Cart@69a8617c, 400",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","33","","com.example.fakestoreapi.test.carts.DeleteCartsTests","","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId","Test DELETE carts by ID with various invalid IDs [1] 9999, 404",""
"passed","Thu Jul 24 15:44:19 UTC 2025","Thu Jul 24 15:44:19 UTC 2025","65","","com.example.fakestoreapi.test.performance.PerformanceTests","","com.example.fakestoreapi.test.performance.PerformanceTests","testGetUserResponseTime","testGetUserResponseTime(int, int) [1] 1, 200","Test response time for GET /users/{id}"
"failed","Thu Jul 24 15:44:20 UTC 2025","Thu Jul 24 15:44:20 UTC 2025","29","","com.example.fakestoreapi.test.products.PutProductsTests","","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct","Test PUT /products endpoint with invalid data [4] com.example.fakestoreapi.model.Product@76afb9d, 400",""
"failed","Thu Jul 24 15:44:22 UTC 2025","Thu Jul 24 15:44:22 UTC 2025","33","","com.example.fakestoreapi.test.users.GetUsersTests","","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByValidId","Test GET /users/{id} endpoint [2] 2, 200",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","33","","com.example.fakestoreapi.test.carts.GetCartsTests","","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartById","Test GET cart by ID endpoint [3] 3, 200",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","38","","com.example.fakestoreapi.test.carts.PutCartsTests","","com.example.fakestoreapi.test.carts.PutCartsTests","testPutValidCart","Test Update /carts/{id} endpoint with valid data [3] com.example.fakestoreapi.model.Cart@5f5c2451, 200",""
"failed","Thu Jul 24 15:44:20 UTC 2025","Thu Jul 24 15:44:20 UTC 2025","37","","com.example.fakestoreapi.test.products.GetProductsTests","","com.example.fakestoreapi.test.products.GetProductsTests","testGetProductById","Test GET products by ID endpoint [1] 1, 200",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","29","","com.example.fakestoreapi.test.carts.PutCartsTests","","com.example.fakestoreapi.test.carts.PutCartsTests","testPutInvalidCart","Test update /carts/{id} endpoint with invalid data [1] com.example.fakestoreapi.model.Cart@67171221, 404",""
"failed","Thu Jul 24 15:44:20 UTC 2025","Thu Jul 24 15:44:20 UTC 2025","40","","com.example.fakestoreapi.test.products.PutProductsTests","","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct","Test PUT /products endpoint with invalid data [2] com.example.fakestoreapi.model.Product@643947d1, 400",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:21 UTC 2025","23","","com.example.fakestoreapi.test.carts.DeleteCartsTests","","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByValidId","Test DELETE carts by ID with valid IDs [2] 2, 200",""
"failed","Thu Jul 24 15:44:21 UTC 2025","Thu Jul 24 15:44:22 UTC 2025","37","","com.example.fakestoreapi.test.users.PutUsersTests","","com.example.fakestoreapi.test.users.PutUsersTests","testUpdateValidUser","Test Update /users/{id} endpoint with valid data [2] com.example.fakestoreapi.model.User@54ff871a, 200",""
